IP,MAC,Role,Purdue Level,Vendor,Device Type,Asset Type,Protocols,Service Ports,Connections,Attack Priority,Auth Observed
10.50.1.51,02:00:00:00:00:20,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.52,02:00:00:00:00:21,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.53,02:00:00:00:00:22,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.54,02:00:00:00:00:23,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.55,02:00:00:00:00:24,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.56,02:00:00:00:00:25,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.57,02:00:00:00:00:26,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.58,02:00:00:00:00:27,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.59,02:00:00:00:00:28,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.60,02:00:00:00:00:29,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.61,02:00:00:00:00:2a,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.62,02:00:00:00:00:2b,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.63,02:00:00:00:00:2c,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.64,02:00:00:00:00:2d,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.65,02:00:00:00:00:2e,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.66,02:00:00:00:00:2f,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.67,02:00:00:00:00:30,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.68,02:00:00:00:00:31,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.69,02:00:00:00:00:32,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.70,02:00:00:00:00:33,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.71,02:00:00:00:00:34,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.72,02:00:00:00:00:35,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.73,02:00:00:00:00:36,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.74,02:00:00:00:00:37,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.75,02:00:00:00:00:38,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.76,02:00:00:00:00:39,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.77,02:00:00:00:00:3a,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.78,02:00:00:00:00:3b,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.79,02:00:00:00:00:3c,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.80,02:00:00:00:00:3d,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.81,02:00:00:00:00:3e,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.82,02:00:00:00:00:3f,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.83,02:00:00:00:00:40,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.84,02:00:00:00:00:41,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.85,02:00:00:00:00:42,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.86,02:00:00:00:00:43,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.87,02:00:00:00:00:44,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.88,02:00:00:00:00:45,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.89,02:00:00:00:00:46,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.90,02:00:00:00:00:47,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.91,02:00:00:00:00:48,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.92,02:00:00:00:00:49,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.93,02:00:00:00:00:4a,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.94,02:00:00:00:00:4b,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.95,02:00:00:00:00:4c,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.96,02:00:00:00:00:4d,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.97,02:00:00:00:00:4e,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.10,02:00:00:00:00:4f,HMI/SCADA,2,Unknown,HMI Terminal,local,Modbus TCP; Iec104,,0,5,false
10.60.1.20,02:00:00:00:00:50,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.21,02:00:00:00:00:51,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.22,02:00:00:00:00:52,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.23,02:00:00:00:00:53,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.24,02:00:00:00:00:54,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.25,02:00:00:00:00:55,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.26,02:00:00:00:00:56,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.27,02:00:00:00:00:57,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.28,02:00:00:00:00:58,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.29,02:00:00:00:00:59,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.30,02:00:00:00:00:5a,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.31,02:00:00:00:00:5b,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.32,02:00:00:00:00:5c,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.33,02:00:00:00:00:5d,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.34,02:00:00:00:00:5e,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.35,02:00:00:00:00:5f,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.36,02:00:00:00:00:60,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.37,02:00:00:00:00:61,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.38,02:00:00:00:00:62,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.39,02:00:00:00:00:63,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.40,02:00:00:00:00:64,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.41,02:00:00:00:00:65,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.42,02:00:00:00:00:66,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.43,02:00:00:00:00:67,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.44,02:00:00:00:00:68,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.45,02:00:00:00:00:69,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.46,02:00:00:00:00:6a,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.47,02:00:00:00:00:6b,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.48,02:00:00:00:00:6c,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.49,02:00:00:00:00:6d,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.50,02:00:00:00:00:6e,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.51,02:00:00:00:00:6f,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.52,02:00:00:00:00:70,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.53,02:00:00:00:00:71,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.54,02:00:00:00:00:72,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.55,02:00:00:00:00:73,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.56,02:00:00:00:00:74,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.57,02:00:00:00:00:75,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.58,02:00:00:00:00:76,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.59,02:00:00:00:00:77,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.60,02:00:00:00:00:78,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.61,02:00:00:00:00:79,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.60.1.62,02:00:00:00:00:7a,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.3.10,02:00:00:00:00:ff,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.10.0.53,02:00:00:00:01:00,Supervisory Controller,2,Unknown,SCADA Server,local,DNS,53/udp(DNS),0,5,false
10.50.3.11,02:00:00:00:01:03,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.12,02:00:00:00:01:04,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.13,02:00:00:00:01:05,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.14,02:00:00:00:01:06,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.15,02:00:00:00:01:07,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.16,02:00:00:00:01:08,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.17,02:00:00:00:01:09,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.18,02:00:00:00:01:0a,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.19,02:00:00:00:01:0b,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.20,02:00:00:00:01:0c,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.21,02:00:00:00:01:0d,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.22,02:00:00:00:01:0e,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.23,02:00:00:00:01:0f,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.24,02:00:00:00:01:10,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.25,02:00:00:00:01:11,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.26,02:00:00:00:01:12,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.27,02:00:00:00:01:13,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.28,02:00:00:00:01:14,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.29,02:00:00:00:01:15,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.30,02:00:00:00:01:16,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.31,02:00:00:00:01:17,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.32,02:00:00:00:01:18,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.33,02:00:00:00:01:19,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.34,02:00:00:00:01:1a,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.35,02:00:00:00:01:1b,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.36,02:00:00:00:01:1c,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.37,02:00:00:00:01:1d,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.38,02:00:00:00:01:1e,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.50.3.39,02:00:00:00:01:1f,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.60.3.10,02:00:00:00:01:20,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.60.3.11,02:00:00:00:01:21,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.60.3.12,02:00:00:00:01:22,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.60.3.13,02:00:00:00:01:23,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.60.3.14,02:00:00:00:01:24,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.60.3.15,02:00:00:00:01:25,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.60.3.16,02:00:00:00:01:26,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.60.3.17,02:00:00:00:01:27,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.60.3.18,02:00:00:00:01:28,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.60.3.19,02:00:00:00:01:29,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.60.3.20,02:00:00:00:01:2a,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.60.3.21,02:00:00:00:01:2b,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.60.3.22,02:00:00:00:01:2c,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.60.3.23,02:00:00:00:01:2d,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.60.3.24,02:00:00:00:01:2e,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.10,02:00:00:00:01:2f,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.11,02:00:00:00:01:30,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.12,02:00:00:00:01:31,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.13,02:00:00:00:01:32,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.14,02:00:00:00:01:33,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.15,02:00:00:00:01:34,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.16,02:00:00:00:01:35,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.17,02:00:00:00:01:36,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.18,02:00:00:00:01:37,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.19,02:00:00:00:01:38,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.20,02:00:00:00:01:39,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.21,02:00:00:00:01:3a,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.22,02:00:00:00:01:3b,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.23,02:00:00:00:01:3c,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.24,02:00:00:00:01:3d,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.25,02:00:00:00:01:3e,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.26,02:00:00:00:01:3f,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.27,02:00:00:00:01:40,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.28,02:00:00:00:01:41,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.29,02:00:00:00:01:42,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.30,02:00:00:00:01:43,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.31,02:00:00:00:01:44,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.32,02:00:00:00:01:45,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.33,02:00:00:00:01:46,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.34,02:00:00:00:01:47,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.35,02:00:00:00:01:48,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.36,02:00:00:00:01:49,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.37,02:00:00:00:01:4a,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.38,02:00:00:00:01:4b,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.39,02:00:00:00:01:4c,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.40,02:00:00:00:01:4d,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.3.41,02:00:00:00:01:4e,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.1.60,02:00:00:00:01:4f,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.1.61,02:00:00:00:01:50,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.1.62,02:00:00:00:01:51,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.1.63,02:00:00:00:01:52,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.1.64,02:00:00:00:01:53,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.1.65,02:00:00:00:01:54,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
10.20.1.66,02:00:00:00:01:55,Enterprise Workstation,4,Unknown,Business Workstation,local,DNS,,0,5,false
