nivel_purdue,zona,ip,mac,rol
L35,DMZ Industrial (IT/OT),10.35.0.16,02:04:00:06:d7:a4,dmz
L35,DMZ Industrial (IT/OT),10.35.0.17,02:04:00:07:ae:2d,dmz
L35,DMZ Industrial (IT/OT),10.35.0.18,02:04:00:08:89:8d,dmz
L35,DMZ Industrial (IT/OT),10.35.0.19,02:04:00:09:11:a5,dmz
L4,Red de negocio del sitio,10.4.0.10,02:05:00:00:19:47,biz
L4,Red de negocio del sitio,10.4.0.11,02:05:00:01:db:fe,biz
L4,Red de negocio del sitio,10.4.0.12,02:05:00:02:ff:af,biz
L4,Red de negocio del sitio,10.4.0.13,02:05:00:03:56:c0,biz
L4,Red de negocio del sitio,10.4.0.14,02:05:00:04:0a:e1,biz
L4,Red de negocio del sitio,10.4.0.15,02:05:00:05:25:61,biz
L4,Red de negocio del sitio,10.4.0.16,02:05:00:06:c4:9e,biz
L4,Red de negocio del sitio,10.4.0.17,02:05:00:07:6a:fa,biz
L4,Red de negocio del sitio,10.4.0.18,02:05:00:08:d0:e7,biz
L4,Red de negocio del sitio,10.4.0.19,02:05:00:09:41:c8,biz
L4,Red de negocio del sitio,10.4.0.20,02:05:00:0a:c1:c6,biz
L4,Red de negocio del sitio,10.4.0.21,02:05:00:0b:5b:27,biz
L4,Red de negocio del sitio,10.4.0.22,02:05:00:0c:85:a9,biz
L4,Red de negocio del sitio,10.4.0.23,02:05:00:0d:42:80,biz
L4,Red de negocio del sitio,10.4.0.24,02:05:00:0e:8a:80,biz
L4,Red de negocio del sitio,10.4.0.25,02:05:00:0f:36:33,biz
L4,Red de negocio del sitio,10.4.0.26,02:05:00:10:5f:42,biz
L4,Red de negocio del sitio,10.4.0.27,02:05:00:11:b2:d3,biz
L4,Red de negocio del sitio,10.4.0.28,02:05:00:12:42:3e,biz
L4,Red de negocio del sitio,10.4.0.29,02:05:00:13:4e:c6,biz
L4,Red de negocio del sitio,10.4.0.30,02:05:00:14:b1:de,biz
L4,Red de negocio del sitio,10.4.0.31,02:05:00:15:08:9b,biz
L4,Red de negocio del sitio,10.4.0.32,02:05:00:16:2f:c5,biz
L4,Red de negocio del sitio,10.4.0.33,02:05:00:17:c6:ea,biz
L4,Red de negocio del sitio,10.4.0.34,02:05:00:18:0f:34,biz
L5,Empresa / Corporativo,10.5.0.10,02:06:00:00:1f:78,ent
L5,Empresa / Corporativo,10.5.0.11,02:06:00:01:4e:76,ent
L5,Empresa / Corporativo,10.5.0.12,02:06:00:02:22:0d,ent
L5,Empresa / Corporativo,10.5.0.13,02:06:00:03:1c:17,ent
L5,Empresa / Corporativo,10.5.0.14,02:06:00:04:0d:a2,ent
L5,Empresa / Corporativo,10.5.0.15,02:06:00:05:4e:af,ent
L5,Empresa / Corporativo,10.5.0.16,02:06:00:06:7e:98,ent
L5,Empresa / Corporativo,10.5.0.17,02:06:00:07:9b:af,ent
L5,Empresa / Corporativo,10.5.0.18,02:06:00:08:9d:ca,ent
L5,Empresa / Corporativo,10.5.0.19,02:06:00:09:ad:5b,ent
